Gene_ID,Public_Name,Class,Targets,
WBGene00000277,cab-1,unk,WBGene00000277,
WBGene00000279,cah-1,unk,WBGene00000279,
WBGene00000280,cah-2,unk,WBGene00000280,
WBGene00000281,cah-3,unk,WBGene00000281,
WBGene00000282,cah-4,unk,WBGene00000282,
WBGene00000283,cah-5,unk,WBGene00000283,
WBGene00000284,cah-6,unk,WBGene00000284,
WBGene00000285,cal-1,unk,WBGene00000285,
WBGene00000286,cal-2,unk,WBGene00000286,
WBGene00000287,cal-3,unk,WBGene00000287,
WBGene00000288,cal-4,unk,WBGene00000288,
WBGene00000289,cam-1,CSR,WBGene00000289,
WBGene00000292,cap-1,CSR,WBGene00000292,
WBGene00000293,cap-2,CSR,WBGene00000293,
WBGene00000294,cas-1,WAGO,WBGene00000294,
WBGene00000295,cat-1,unk,WBGene00000295,
WBGene00000296,cat-2,unk,WBGene00000296,
WBGene00000298,cat-4,unk,WBGene00000298,
WBGene00000301,cav-1,unk,WBGene00000301,
WBGene00000302,cav-2,unk,WBGene00000302,
WBGene00000308,C04A11.t1,unk,WBGene00000308,
WBGene00000310,C05C9.t1,unk,WBGene00000310,
WBGene00000311,C05C9.t2,unk,WBGene00000311,
WBGene00000366,cbp-1,CSR,WBGene00000366,
WBGene00000367,cca-1,unk,WBGene00000367,
WBGene00000368,ccb-1,WAGO,WBGene00000368,
WBGene00000369,ccf-1,CSR,WBGene00000369,
WBGene00000370,ccg-1,unk,WBGene00000370,
WBGene00000371,cox-5B,unk,WBGene00000371,
WBGene00000372,cyp-13A7,unk,WBGene00000372,
WBGene00000373,cyp-14A5,unk,WBGene00000373,
WBGene00000374,cyp-31A1,unk,WBGene00000374,
WBGene00000375,cyp-44A1,CSR,WBGene00000375,
WBGene00000376,ccr-4,CSR,WBGene00000376,
WBGene00000377,cct-1,CSR,WBGene00000377,
WBGene00000378,cct-2,CSR,WBGene00000378,
WBGene00000379,cct-4,CSR,WBGene00000379,
WBGene00000380,cct-5,CSR,WBGene00000380,
WBGene00000381,cct-6,unk,WBGene00000381,
WBGene00000382,cdc-6,CSR,WBGene00000382,
WBGene00000383,cdc-14,CSR,WBGene00000383,
WBGene00000386,cdc-25.1,CSR,WBGene00000386,
WBGene00000387,cdc-25.2,WAGO,WBGene00000387,
WBGene00000388,cdc-25.3,CSR,WBGene00000388,
WBGene00000389,cdc-25.4,ALG,WBGene00000389,
WBGene00000390,cdc-42,CSR,WBGene00000390,
WBGene00000391,cdd-1,unk,WBGene00000391,
WBGene00000392,cdd-2,unk,WBGene00000392,
WBGene00000393,cdf-1,WAGO,WBGene00000393,
WBGene00000395,cdh-3,unk,WBGene00000395,
WBGene00000396,cdh-4,ERGO,WBGene00000396,
WBGene00000397,cdh-5,WAGO,WBGene00000397,
WBGene00000399,cdh-7,unk,WBGene00000399,
WBGene00000401,cdh-9,unk,WBGene00000401,
WBGene00000402,cdh-10,unk,WBGene00000402,
WBGene00000403,casy-1,unk,WBGene00000403,
WBGene00000405,cdk-1,ALG,WBGene00000405,
WBGene00000406,cdk-4,CSR,WBGene00000406,
WBGene00000407,cdk-5,WAGO,WBGene00000407,
WBGene00000408,cdk-7,CSR,WBGene00000408,
WBGene00000409,cdk-8,unk,WBGene00000409,
WBGene00000410,cdk-9,CSR,WBGene00000410,
WBGene00000411,cdl-1,CSR,WBGene00000411,
WBGene00000412,cdr-1,unk,WBGene00000412,
WBGene00000413,cdt-1,CSR,WBGene00000413,
WBGene00000414,cec-1,CSR,WBGene00000414,
WBGene00000415,ced-1,unk,WBGene00000415,
WBGene00000416,ced-2,CSR,WBGene00000416,
WBGene00000417,ced-3,CSR,WBGene00000417,
WBGene00000418,ced-4,ALG,WBGene00000418,
WBGene00000419,ced-5,CSR,WBGene00000419,
WBGene00000420,ced-6,CSR,WBGene00000420,
WBGene00000421,ced-7,unk,WBGene00000421,
WBGene00000422,ced-8,unk,WBGene00000422,
WBGene00000423,ced-9,CSR,WBGene00000423,
WBGene00000424,ced-10,CSR,WBGene00000424,
WBGene00000425,ced-11,unk,WBGene00000425,
WBGene00000426,ced-12,ALG,WBGene00000426,
WBGene00000427,ced-13,unk,WBGene00000427,
WBGene00000428,ceh-1,unk,WBGene00000428,
WBGene00000429,ceh-2,unk,WBGene00000429,
WBGene00000430,ceh-5,unk,WBGene00000430,
WBGene00000431,ceh-6,unk,WBGene00000431,
WBGene00000432,ceh-7,unk,WBGene00000432,
WBGene00000433,ceh-8,unk,WBGene00000433,
WBGene00000434,ceh-9,unk,WBGene00000434,
WBGene00000435,ceh-10,unk,WBGene00000435,
WBGene00000436,ceh-12,unk,WBGene00000436,
WBGene00000437,ceh-13,unk,WBGene00000437,
WBGene00000438,ceh-14,unk,WBGene00000438,
WBGene00000439,ceh-16,unk,WBGene00000439,
WBGene00000440,ceh-17,unk,WBGene00000440,
WBGene00000441,ceh-18,WAGO,WBGene00000441,
WBGene00000442,ceh-19,unk,WBGene00000442,
WBGene00000443,ceh-20,WAGO,WBGene00000443,
WBGene00000444,ceh-21,CSR,WBGene00000444,
WBGene00000445,ceh-22,unk,WBGene00000445,
WBGene00000446,ceh-23,unk,WBGene00000446,
WBGene00000447,ceh-24,unk,WBGene00000447,
WBGene00000448,pros-1,unk,WBGene00000448,
WBGene00000449,ceh-27,unk,WBGene00000449,
WBGene00000450,ceh-28,unk,WBGene00000450,
WBGene00000451,ceh-30,unk,WBGene00000451,
WBGene00000452,ceh-31,unk,WBGene00000452,
WBGene00000453,ceh-32,unk,WBGene00000453,
WBGene00000454,ceh-33,unk,WBGene00000454,
WBGene00000455,ceh-34,unk,WBGene00000455,
WBGene00000457,ceh-36,unk,WBGene00000457,
WBGene00000458,ceh-37,unk,WBGene00000458,
WBGene00000459,ceh-38,CSR,WBGene00000459,
WBGene00000460,ceh-39,WAGO,WBGene00000460,
WBGene00000461,ceh-40,unk,WBGene00000461,
WBGene00000462,ceh-41,WAGO,WBGene00000462,
WBGene00000463,ceh-43,WAGO,WBGene00000463,
WBGene00000464,ceh-44,CSR,WBGene00000464,
WBGene00000465,cpg-1,unk,WBGene00000465,
WBGene00000466,cel-1,CSR,WBGene00000466,
WBGene00000467,cep-1,CSR,WBGene00000467,
WBGene00000468,ces-1,unk,WBGene00000468,
WBGene00000469,ces-2,WAGO,WBGene00000469,
WBGene00000472,cey-1,unk,WBGene00000472,
WBGene00000473,cey-2,CSR,WBGene00000473,
WBGene00000474,cey-3,CSR,WBGene00000474,
WBGene00000475,cey-4,ALG,WBGene00000475,
WBGene00000476,cfi-1,unk,WBGene00000476,
WBGene00000477,cft-1,unk,WBGene00000477,
WBGene00000478,cfz-2,unk,WBGene00000478,
WBGene00000479,cgh-1,CSR,WBGene00000479,
WBGene00000480,cgp-1,unk,WBGene00000480,
WBGene00000481,cha-1,WAGO,WBGene00000481,
WBGene00000482,chd-3,CSR,WBGene00000482,
WBGene00000483,che-1,unk,WBGene00000483,
WBGene00000484,che-2,unk,WBGene00000484,
WBGene00000485,che-3,unk,WBGene00000485,
WBGene00000487,che-6,unk,WBGene00000487,
WBGene00000488,che-7,unk,WBGene00000488,
WBGene00000490,che-11,unk,WBGene00000490,
WBGene00000491,che-12,unk,WBGene00000491,
WBGene00000492,che-13,unk,WBGene00000492,
WBGene00000493,che-14,unk,WBGene00000493,
WBGene00000496,chs-1,CSR,WBGene00000496,
WBGene00000497,chs-2,WAGO,WBGene00000497,
WBGene00000498,chk-1,CSR,WBGene00000498,
WBGene00000499,chk-2,CSR,WBGene00000499,
WBGene00000500,chn-1,unk,WBGene00000500,
WBGene00000501,cho-1,unk,WBGene00000501,
WBGene00000502,chp-1,CSR,WBGene00000502,
WBGene00000503,cht-1,unk,WBGene00000503,
WBGene00000506,cic-1,unk,WBGene00000506,
WBGene00000507,cit-1.1,CSR,WBGene00000507,
WBGene00000508,cit-1.2,CSR,WBGene00000508,
WBGene00000509,cka-1,CSR,WBGene00000509,
WBGene00000510,cka-2,unk,WBGene00000510,
WBGene00000511,ckb-1,unk,WBGene00000511,
WBGene00000512,ckb-2,ERGO,WBGene00000512,
WBGene00000513,ckb-3,unk,WBGene00000513,
WBGene00000514,ckb-4,WAGO,WBGene00000514,
WBGene00000515,ckc-1,unk,WBGene00000515,
WBGene00000516,cki-1,unk,WBGene00000516,
WBGene00000517,cki-2,CSR,WBGene00000517,
WBGene00000518,ckk-1,WAGO,WBGene00000518,
WBGene00000519,cku-70,CSR,WBGene00000519,
WBGene00000520,cku-80,CSR,WBGene00000520,
WBGene00000521,cky-1,unk,WBGene00000521,
WBGene00000522,clc-1,unk,WBGene00000522,
WBGene00000523,clc-2,unk,WBGene00000523,
WBGene00000524,clc-3,unk,WBGene00000524,
WBGene00000525,clc-4,unk,WBGene00000525,
WBGene00000526,clc-5,unk,WBGene00000526,
WBGene00000527,cle-1,unk,WBGene00000527,
WBGene00000528,clh-1,unk,WBGene00000528,
WBGene00000529,clh-2,unk,WBGene00000529,
WBGene00000530,clh-3,CSR,WBGene00000530,
WBGene00000531,clh-4,unk,WBGene00000531,
WBGene00000532,clh-5,CSR,WBGene00000532,
WBGene00000533,clh-6,unk,WBGene00000533,
WBGene00000534,cpi-2,unk,WBGene00000534,
WBGene00000535,cpi-1,WAGO,WBGene00000535,
WBGene00000536,clk-1,WAGO,WBGene00000536,
WBGene00000537,clk-2,CSR,WBGene00000537,
WBGene00000539,cln-3.1,unk,WBGene00000539,
WBGene00000540,cln-3.2,unk,WBGene00000540,
WBGene00000541,cln-3.3,ALG,WBGene00000541,
WBGene00000542,clp-1,CSR,WBGene00000542,
WBGene00000543,clp-2,unk,WBGene00000543,
WBGene00000544,clp-3,WAGO,WBGene00000544,
WBGene00000545,clp-4,WAGO,WBGene00000545,
WBGene00000546,clp-6,WAGO,WBGene00000546,
WBGene00000547,clp-7,unk,WBGene00000547,
WBGene00000548,clr-1,CSR,WBGene00000548,
WBGene00000549,cls-2,CSR,WBGene00000549,
WBGene00000550,clu-1,CSR,WBGene00000550,
WBGene00000551,clx-1,unk,WBGene00000551,
WBGene00000552,cmd-1,ALG,WBGene00000552,
WBGene00000553,cmk-1,unk,WBGene00000553,
WBGene00000554,cnb-1,WAGO,WBGene00000554,
WBGene00000555,cnc-1,unk,WBGene00000555,
WBGene00000556,cnc-2,unk,WBGene00000556,
WBGene00000557,cnc-3,unk,WBGene00000557,
WBGene00000558,cnc-4,unk,WBGene00000558,
WBGene00000559,cnc-5,unk,WBGene00000559,
WBGene00000560,cnc-6,unk,WBGene00000560,
WBGene00000561,cnd-1,unk,WBGene00000561,
WBGene00000562,cng-1,unk,WBGene00000562,
WBGene00000563,cng-3,unk,WBGene00000563,
WBGene00000564,cnk-1,CSR,WBGene00000564,
WBGene00000565,cnt-1,CSR,WBGene00000565,
WBGene00000566,cnt-2,CSR,WBGene00000566,
WBGene00000567,cnx-1,ALG,WBGene00000567,
WBGene00000583,cof-2,unk,WBGene00000583,
WBGene00000584,cog-1,unk,WBGene00000584,
WBGene00000585,cogc-2,CSR,WBGene00000585,
WBGene00000591,coh-1,unk,WBGene00000591,
WBGene00000592,coh-3,CSR,WBGene00000592,
WBGene00000593,col-2,unk,WBGene00000593,
WBGene00000594,col-3,unk,WBGene00000594,
WBGene00000596,col-7,unk,WBGene00000596,
WBGene00000597,col-8,unk,WBGene00000597,
WBGene00000598,col-9,unk,WBGene00000598,
WBGene00000599,col-10,unk,WBGene00000599,
WBGene00000601,col-12,unk,WBGene00000601,
WBGene00000602,col-13,unk,WBGene00000602,
WBGene00000603,col-14,unk,WBGene00000603,
WBGene00000606,col-17,unk,WBGene00000606,
WBGene00000608,col-19,unk,WBGene00000608,
WBGene00000609,col-20,unk,WBGene00000609,
WBGene00000610,col-33,unk,WBGene00000610,
WBGene00000611,col-34,unk,WBGene00000611,
WBGene00000612,col-35,unk,WBGene00000612,
WBGene00000613,col-36,unk,WBGene00000613,
WBGene00000614,col-37,unk,WBGene00000614,
WBGene00000615,col-38,WAGO,WBGene00000615,
WBGene00000616,col-39,unk,WBGene00000616,
WBGene00000617,col-40,unk,WBGene00000617,
WBGene00000618,col-41,unk,WBGene00000618,
WBGene00000620,col-43,unk,WBGene00000620,
WBGene00000621,col-44,unk,WBGene00000621,
WBGene00000622,col-45,WAGO,WBGene00000622,
WBGene00000623,col-46,unk,WBGene00000623,
WBGene00000624,col-47,unk,WBGene00000624,
WBGene00000625,col-48,unk,WBGene00000625,
WBGene00000626,col-49,unk,WBGene00000626,
WBGene00000627,col-50,unk,WBGene00000627,
WBGene00000628,col-51,unk,WBGene00000628,
WBGene00000629,col-52,unk,WBGene00000629,
WBGene00000630,col-53,unk,WBGene00000630,
WBGene00000631,col-54,unk,WBGene00000631,
WBGene00000632,col-55,unk,WBGene00000632,
WBGene00000633,col-56,unk,WBGene00000633,
WBGene00000634,col-58,unk,WBGene00000634,
WBGene00000636,col-60,WAGO,WBGene00000636,
WBGene00000637,col-61,unk,WBGene00000637,
WBGene00000638,col-62,unk,WBGene00000638,
WBGene00000639,col-63,unk,WBGene00000639,
WBGene00000640,col-64,unk,WBGene00000640,
WBGene00000641,col-65,unk,WBGene00000641,
WBGene00000642,col-66,unk,WBGene00000642,
WBGene00000644,col-68,unk,WBGene00000644,
WBGene00000645,col-69,unk,WBGene00000645,
WBGene00000646,H17B01.2,unk,WBGene00000646,
WBGene00000647,col-71,WAGO,WBGene00000647,
WBGene00000648,col-72,unk,WBGene00000648,
WBGene00000649,col-73,unk,WBGene00000649,
WBGene00000650,col-74,unk,WBGene00000650,
WBGene00000651,col-75,unk,WBGene00000651,
WBGene00000652,col-76,unk,WBGene00000652,
WBGene00000653,col-77,unk,WBGene00000653,
WBGene00000654,col-78,unk,WBGene00000654,
WBGene00000655,col-79,unk,WBGene00000655,
WBGene00000656,col-80,unk,WBGene00000656,
WBGene00000657,col-81,unk,WBGene00000657,
WBGene00000658,col-83,unk,WBGene00000658,
WBGene00000659,col-84,unk,WBGene00000659,
WBGene00000660,col-85,unk,WBGene00000660,
WBGene00000661,col-86,unk,WBGene00000661,
WBGene00000662,col-87,unk,WBGene00000662,
WBGene00000663,col-88,unk,WBGene00000663,
WBGene00000664,col-89,unk,WBGene00000664,
WBGene00000665,col-90,unk,WBGene00000665,
WBGene00000666,col-91,unk,WBGene00000666,
WBGene00000667,col-92,unk,WBGene00000667,
WBGene00000668,col-93,unk,WBGene00000668,
WBGene00000669,col-94,unk,WBGene00000669,
WBGene00000670,col-95,unk,WBGene00000670,
WBGene00000671,col-96,unk,WBGene00000671,
WBGene00000672,col-97,unk,WBGene00000672,
WBGene00000673,col-98,unk,WBGene00000673,
WBGene00000674,col-99,unk,WBGene00000674,
WBGene00000675,col-101,unk,WBGene00000675,
WBGene00000676,col-102,unk,WBGene00000676,
WBGene00000677,col-103,unk,WBGene00000677,
WBGene00000678,col-104,unk,WBGene00000678,
WBGene00000679,col-105,unk,WBGene00000679,
WBGene00000680,col-106,unk,WBGene00000680,
WBGene00000681,col-107,unk,WBGene00000681,
WBGene00000682,col-108,unk,WBGene00000682,
WBGene00000683,col-109,unk,WBGene00000683,
WBGene00000684,col-110,unk,WBGene00000684,
WBGene00000685,col-111,WAGO,WBGene00000685,
