gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM
WBGene00000106	T07D3.7a.1,T07D3.7b.1	3187.63	3053.79	1508.00	19.67	22.15
WBGene00000107	F54D8.3a.1,F54D8.3b.1,F54D8.3b.2	1688.47	1554.63	6530.00	167.34	188.39
WBGene00000108	K04F1.15.1	1641.00	1507.16	0.00	0.00	0.00
WBGene00000109	F36H1.6.1	2864.00	2730.16	3714.00	54.20	61.01
WBGene00000110	T05H4.13a.1,T05H4.13b.1,T05H4.13c.1,T05H4.13d.1	1806.05	1672.21	3052.00	72.71	81.86
WBGene00000111	T08B1.3.1	1383.00	1249.16	199.00	6.35	7.14
WBGene00000112	F56D12.1a.1,F56D12.1a.2,F56D12.1b.1,F56D12.1c.1,F56D12.1d.1	1838.55	1704.70	1440.00	33.65	37.89
WBGene00000113	F45H10.1a.1,F45H10.1b.1	1521.17	1387.33	1016.00	29.18	32.85
WBGene00000114	F13D12.4a.1,F13D12.4b.1	1747.85	1614.00	14802.00	365.37	411.32
WBGene00000115	F01F1.6.1,F01F1.6.2	1835.01	1701.16	3592.00	84.12	94.70
WBGene00000116	C54D1.4.1	1654.00	1520.16	634.00	16.62	18.71
WBGene00000117	F42G9.5a.1,F42G9.5b.1,F42G9.5b.2	1706.84	1572.99	1166.00	29.53	33.25
WBGene00000118	Y69F12A.2a.1,Y69F12A.2b.1	1544.51	1410.66	1405.00	39.68	44.67
WBGene00000120	C01F6.5.1	774.00	640.16	887.00	55.20	62.14
WBGene00000121	F23B2.6.1	786.00	652.16	5845.00	357.07	401.97
WBGene00000122	M18.7a.1,M18.7b	989.83	855.99	4615.00	214.79	241.81
WBGene00000123	F36A4.7.1	6020.00	5886.16	4868.00	32.95	37.09
WBGene00000133	C05E11.4.1	1739.00	1605.16	92.00	2.28	2.57
WBGene00000134	F49E11.3.1	1754.00	1620.16	10.00	0.25	0.28
WBGene00000135	M195.3.1	2384.00	2250.16	60.00	1.06	1.20
WBGene00000136	C05E11.5.1	2110.00	1976.16	662.00	13.35	15.02
WBGene00000137	R13G10.2.1	2641.00	2507.16	929.00	14.76	16.62
WBGene00000138	B0019.1.1	2356.00	2222.16	139.00	2.49	2.81
WBGene00000139	F25C8.2a.1,F25C8.2b.1	1562.10	1428.25	107.00	2.98	3.36
WBGene00000140	ZK973.6a.1,ZK973.6b.1,ZK973.6c.1	23804.07	23670.23	21134.00	35.57	40.04
WBGene00000142	C08B6.9.1	1242.00	1108.16	3219.00	115.73	130.28
WBGene00000143	K06H7.6.1	2312.00	2178.16	3124.00	57.14	64.33
WBGene00000144	F15H10.3a.1,F15H10.3b.1,F15H10.3c.1,F15H10.3d.1	667.37	533.53	781.00	58.32	65.65
WBGene00000145	F35G12.9.1	469.00	335.16	805.00	95.69	107.72
WBGene00000146	F46F3.4a.1,F46F3.4b.1,F46F3.4c.1,F46F3.4d.1	2678.85	2545.01	7625.00	119.36	134.37
WBGene00000147	VF36H2L.1.1	1104.00	970.16	419.00	17.21	19.37
WBGene00000148	ZC434.6a.1,ZC434.6b.1	2379.07	2245.22	2216.00	39.32	44.27
WBGene00000149	C42D8.8a.1,C42D8.8b.1	2702.99	2569.15	3579.00	55.50	62.48
WBGene00000150	F55A12.7.1	1602.00	1468.16	447.00	12.13	13.66
WBGene00000151	T05H10.2.1	1237.00	1103.16	1694.00	61.18	68.87
WBGene00000155	W03G9.4.1	2097.00	1963.16	7829.00	158.88	178.86
WBGene00000156	K04G2.8a.1,K04G2.8b.1,K04G2.8c.1	3895.72	3761.88	7434.00	78.73	88.63
WBGene00000157	F02E8.3.1	564.00	430.16	411.00	38.07	42.85
WBGene00000158	Y105E8A.9.1	3020.00	2886.16	3540.00	48.87	55.01
WBGene00000159	F29G9.3.1	615.00	481.16	1492.00	123.54	139.07
WBGene00000160	Y71H2B.10.1	3115.00	2981.16	3072.00	41.05	46.22
WBGene00000161	T20B5.1.1	3246.00	3112.16	2056.00	26.32	29.63
WBGene00000162	W09G10.4a.1,W09G10.4b.1	4074.55	3940.71	2107.00	21.30	23.98
WBGene00000163	R11A5.1a.1,R11A5.1b.1	2917.96	2784.12	4100.00	58.67	66.05
WBGene00000164	F53H8.1.1	1413.00	1279.16	585.00	18.22	20.51
WBGene00000165	Y48G8AL.14.1	1467.00	1333.16	2059.00	61.53	69.27
WBGene00000166	W04G3.4.1	2276.00	2142.16	62.00	1.15	1.30
WBGene00000168	K08D9.3a.1,K08D9.3b,K08D9.3c,K08D9.3d,K08D9.3e.1,K08D9.3f.1	2231.69	2097.84	349.00	6.63	7.46
WBGene00000169	F32A5.5a.1,F32A5.5b.1	1004.25	870.40	416.00	19.04	21.44
WBGene00000170	C01G6.1a.1,C01G6.1b.1,C01G6.1b.2	1156.58	1022.73	1780.00	69.34	78.06
WBGene00000171	Y69E1A.7a.1,Y69E1A.7b.1,Y69E1A.7c.1	1285.00	1151.16	12.00	0.42	0.47
WBGene00000172	F40F9.9.1	1076.00	942.16	238.00	10.06	11.33
WBGene00000173	C35A5.1.1	1038.00	904.16	6.00	0.26	0.30
WBGene00000174	C32C4.2a.1,C32C4.2b.1,C32C4.2c.1	984.24	850.40	8.00	0.37	0.42
WBGene00000175	M02F4.8a.1,M02F4.8a.2,M02F4.8b.1	1068.69	934.85	1782.00	75.94	85.49
WBGene00000176	K02G10.7a.1,K02G10.7b.1,K02G10.7b.2,K02G10.7c.1,K02G10.7d.1	1034.35	901.30	841.00	37.17	41.85
WBGene00000177	K07A1.16a.1,K07A1.16a.2,K07A1.16b.1	582.89	452.26	79.00	6.96	7.83
WBGene00000178	ZK1321.3.1	983.00	849.16	549.00	25.76	29.00
WBGene00000179	ZK525.2.1	900.00	766.16	529.00	27.51	30.97
WBGene00000180	ZK1320.6.1	1710.00	1576.16	347.00	8.77	9.87
WBGene00000181	F01G4.2a.1,F01G4.2b.1	690.75	557.45	2988.00	213.55	240.40
WBGene00000182	B0336.2.1,B0336.2.2	1202.60	1068.75	2553.52	95.19	107.16
WBGene00000183	F57H12.1.1	940.00	806.16	5693.48	281.37	316.75
WBGene00000184	Y116A8C.12.1	639.00	505.16	410.00	32.34	36.40
WBGene00000185	F31A9.3.1	1074.00	940.16	0.00	0.00	0.00
WBGene00000186	C01C7.1a.1,C01C7.1b.1	3569.54	3435.70	1035.00	12.00	13.51
WBGene00000187	F54C9.10.1	976.00	842.16	1059.00	50.10	56.40
WBGene00000188	F19H8.3.1	1586.00	1452.16	139.00	3.81	4.29
WBGene00000189	ZK632.8.1	706.00	572.16	428.00	29.80	33.55
WBGene00000190	F45E4.1.1	730.00	596.16	167.25	11.18	12.58
WBGene00000191	F20D1.5	525.00	391.16	38.75	3.95	4.44
WBGene00000192	Y57G11C.13.1	984.00	850.16	2380.00	111.53	125.56
WBGene00000193	C38D4.8.1	1417.00	1283.16	15.00	0.47	0.52
WBGene00000195	F53H8.2.1	1530.00	1396.16	646.00	18.43	20.75
WBGene00000196	W02B12.6a.1,W02B12.6b	2664.17	2530.33	1418.00	22.33	25.13
WBGene00000197	F28H1.3.1,F28H1.3.2	3126.00	2992.16	9647.00	128.45	144.60
WBGene00000198	C15F1.6.1	1059.00	925.16	2681.00	115.45	129.97
WBGene00000199	Y71F9AL.16.1	1598.00	1464.16	1801.00	49.01	55.17
WBGene00000200	K07C5.1.1	1506.00	1372.16	3451.00	100.20	112.80
WBGene00000201	Y79H2A.6a.1,Y79H2A.6b.1	1380.30	1246.46	2196.00	70.19	79.02
WBGene00000202	Y6D11A.1.1	1764.00	1630.16	1994.00	48.73	54.86
WBGene00000203	Y37D8A.1.1	693.00	559.16	1261.00	89.85	101.15
WBGene00000204	C35D10.16.1	756.00	622.16	829.00	53.09	59.76
WBGene00000205	M01B12.3.1	640.00	506.16	672.00	52.89	59.55
WBGene00000206	F35G12.10.1	1026.00	892.16	7065.00	315.49	355.17
WBGene00000207	F02E8.1.1,F02E8.1.2	1132.83	998.99	3600.00	143.57	161.62
WBGene00000208	Y53F4B.15.1	1339.00	1205.16	1189.00	39.31	44.25
WBGene00000209	K07A12.3.1	476.00	342.16	3077.00	358.27	403.33
WBGene00000210	C53B7.4.1	497.00	363.16	1552.00	170.26	191.67
WBGene00000211	B0252.2.1	1790.00	1656.16	322.00	7.75	8.72
WBGene00000212	ZK455.4.1	1933.00	1799.16	134.00	2.97	3.34
WBGene00000213	W03G1.7a.1,W03G1.7b.1	1844.86	1711.02	9.00	0.21	0.24
WBGene00000214	Y39B6A.20.1	1191.00	1057.16	26592.00	1002.15	1128.17
WBGene00000215	T18H9.2.1	1381.00	1247.16	11426.00	365.00	410.90
WBGene00000216	H22K11.1.1	1462.00	1328.16	22796.00	683.80	769.79
WBGene00000217	R12H7.2.1	1460.00	1326.16	9927.00	298.22	335.73
WBGene00000218	F21F8.3.1	1240.00	1106.16	10348.00	372.70	419.57
WBGene00000219	F21F8.7.1	1275.00	1141.16	25058.00	874.82	984.84
WBGene00000220	K08F8.2.1	1408.00	1274.16	154.00	4.82	5.42
WBGene00000221	T04C10.4.1,T04C10.4.2	1026.00	892.16	449.00	20.05	22.57
WBGene00000222	F45E6.2.1	2402.00	2268.16	359.00	6.31	7.10
WBGene00000223	C07G2.2a.1,C07G2.2b.1,C07G2.2b.2,C07G2.2c.1,C07G2.2d.1,C07G2.2d.2,C07G2.2d.3,C07G2.2d.4	2171.59	2037.75	3152.00	61.62	69.37
WBGene00000224	F26D10.9a.1,F26D10.9b.1	1744.98	1611.13	781.00	19.31	21.74
WBGene00000225	C38C6.2a.1,C38C6.2b.1,C38C6.2c.1	2144.71	2010.86	498.00	9.87	11.11
WBGene00000226	T06E4.3a.1,T06E4.3a.2,T06E4.3c.1	6396.65	6262.81	10328.00	65.70	73.96
WBGene00000227	Y48G1BL.2a.1,Y48G1BL.2b.1	7581.00	7447.16	2039.00	10.91	12.28
WBGene00000228	W04D2.1a.1,W04D2.1b.1,W04D2.1c.1,W04D2.1d.1	3132.84	2999.00	2549.00	33.86	38.12
WBGene00000229	C34E10.6.1,C34E10.6.2	1929.00	1795.16	45338.00	1006.19	1132.72
WBGene00000230	F27C1.7a.1,F27C1.7a.2,F27C1.7a.3,F27C1.7a.4,F27C1.7b.1	868.44	734.60	6999.00	379.58	427.32
WBGene00000231	D2045.1a.1,D2045.1b.1,D2045.1c.1,D2045.1d.1	3498.76	3364.91	1361.00	16.11	18.14
WBGene00000232	B0207.12a.1,B0207.12a.2,B0207.12a.3,B0207.12b.1,B0207.12c.1	1823.70	1689.85	170.00	4.01	4.51
WBGene00000233	R11G10.1a.1,R11G10.1b.1,R11G10.1c.1	1808.16	1674.32	316.00	7.52	8.46
WBGene00000235	B0464.7.1	540.00	406.16	1740.00	170.68	192.14
WBGene00000236	F57B10.11.1	717.00	583.16	1529.00	104.46	117.59
WBGene00000237	Y71F9AR.1.1	3441.00	3307.16	338.00	4.07	4.58
WBGene00000238	C54D1.6.1	2592.00	2458.16	250.00	4.05	4.56
WBGene00000239	C05D2.4a.1,C05D2.4b.1	1616.10	1482.26	415.00	11.15	12.56
WBGene00000240	K08F8.4a.1,K08F8.4b.1	1545.14	1411.29	1655.00	46.72	52.60
WBGene00000241	Y105E8A.5.1	1984.00	1850.16	21.00	0.45	0.51
WBGene00000242	F20D12.3.1	2330.00	2196.16	60.00	1.09	1.23
WBGene00000244	T25F10.5.1	1719.00	1585.16	28.00	0.70	0.79
WBGene00000245	T13C5.5.1	1085.00	951.16	567.00	23.75	26.74
WBGene00000246	M7.3.1	2056.00	1922.16	77.00	1.60	1.80
WBGene00000247	T19E7.3a.1,T19E7.3b.1	1239.46	1105.63	1410.00	50.81	57.20
WBGene00000248	C54C6.2.1	2065.00	1931.16	1878.24	38.75	43.62
WBGene00000249	T27F2.3.1,T27F2.3.2	567.35	433.50	1046.00	96.13	108.22
WBGene00000250	C50B8.2.1	1044.00	910.16	1216.00	53.23	59.92
WBGene00000251	C09G5.6.1	3010.00	2876.16	9.00	0.12	0.14
WBGene00000252	F59E12.12.1	994.00	860.16	5.00	0.23	0.26
WBGene00000253	F56C11.1.1,F56C11.1.2	5110.16	4976.32	877.83	7.03	7.91
WBGene00000254	K04F10.4a.1,K04F10.4b.1,K04F10.4c.1,K04F10.4d.1,K04F10.4d.2,K04F10.4e.1,K04F10.4f.1,K04F10.4g.1,K04F10.4h.1,K04F10.4i.1,K04F10.4j.1	2854.11	2720.26	6668.00	97.66	109.94
WBGene00000255	F45G2.5.1	747.00	613.16	4.00	0.26	0.29
WBGene00000256	Y73B6BL.34.1	996.00	862.16	26.00	1.20	1.35
WBGene00000257	F23B12.8a.1,F23B12.8b.1	3030.72	2896.87	6157.00	84.68	95.32
WBGene00000259	F13H8.10a.1,F13H8.10b.1,F13H8.10c.1,F13H8.10c.2,F13H8.10c.3,F13H8.10c.4,F13H8.10c.5,F13H8.10c.6	2188.21	2054.36	1466.00	28.43	32.01
WBGene00000262	F54B11.6.1	870.00	736.16	229.00	12.39	13.95
WBGene00000263	F23H11.5.1	461.00	327.17	3055.00	372.02	418.80
WBGene00000264	C36A4.8a.1,C36A4.8b.1,C36A4.8c.1	1717.08	1583.25	2057.00	51.76	58.27
WBGene00000265	K04C2.4.1	2186.00	2052.16	1467.00	28.48	32.06
WBGene00000266	C53B4.7a.1,C53B4.7b.1,C53B4.7c.1,C53B4.7d.1,C53B4.7e.1	1342.18	1208.33	626.00	20.64	23.24
WBGene00000267	Y39E4B.9a.1,Y39E4B.9a.2,Y39E4B.9b.1,Y39E4B.9c.1,Y39E4B.9d.1	1250.90	1117.05	53.00	1.89	2.13
WBGene00000268	B0464.4a.1,B0464.4a.2,B0464.4a.3,B0464.4b	2028.02	1894.18	1789.00	37.63	42.36
WBGene00000269	Y73E7A.7a.1,Y73E7A.7a.2,Y73E7A.7b.1	1324.42	1190.57	279.00	9.34	10.51
WBGene00000270	T12G3.8a.1,T12G3.8b.1	931.21	797.36	701.00	35.03	39.43
WBGene00000271	F45E12.2a.1,F45E12.2b.1	2566.94	2433.10	3486.00	57.08	64.26
WBGene00000272	F56A3.5.1	1142.00	1008.16	14.00	0.55	0.62
WBGene00000273	Y79H2A.1a.1,Y79H2A.1c.1	1804.00	1670.16	3479.00	82.99	93.42
WBGene00000274	F15D4.1.1	5229.00	5095.16	2286.00	17.87	20.12
WBGene00000275	R06C7.8.1	3062.00	2928.16	8646.00	117.64	132.43
WBGene00000276	F57B9.5.1	1563.00	1429.16	2879.00	80.26	90.35
WBGene00000277	C23H4.1.1,C23H4.1.2	1948.12	1814.27	2081.00	45.70	51.44
WBGene00000279	F54D8.4a.1,F54D8.4b.1	1016.95	883.10	80.00	3.61	4.06
WBGene00000280	D1022.8.1	1198.00	1064.16	66.00	2.47	2.78
WBGene00000281	K05G3.3.1	1080.00	946.16	699.00	29.43	33.13
WBGene00000282	R01E6.3a.1,R01E6.3b.1	991.98	858.13	1604.00	74.47	83.83
WBGene00000283	R173.1.1	1091.00	957.16	455.00	18.94	21.32
WBGene00000284	T28F2.3.1,T28F2.3.2	1378.00	1244.16	160.00	5.12	5.77
WBGene00000285	C13C12.1a.1,C13C12.1b.1	772.39	638.54	164.00	10.23	11.52
WBGene00000286	C18E9.1.1	756.00	622.16	174.00	11.14	12.54
WBGene00000287	M02B7.6a.1,M02B7.6b.1	715.42	581.57	31.00	2.12	2.39
WBGene00000288	T07G12.1a.1,T07G12.1b.1,T07G12.1b.2,T07G12.1c.1	1126.69	992.85	167.00	6.70	7.54
WBGene00000289	C01G6.8a.1,C01G6.8b.1,C01G6.8c.1,C01G6.8c.2	3089.22	2955.38	2755.00	37.14	41.81
WBGene00000292	D2024.6.1	1131.00	997.16	2454.00	98.05	110.38
WBGene00000293	M106.5.1	1260.00	1126.16	3304.00	116.89	131.58
WBGene00000294	F41G4.2a.1,F41G4.2b.1	1757.89	1624.05	1334.00	32.72	36.84
WBGene00000295	W01C8.6.1,W01C8.6.2	1943.00	1809.16	43.00	0.95	1.07
WBGene00000296	B0432.5a.1,B0432.5b.1,B0432.5c.1	1653.90	1520.06	34.00	0.89	1.00
WBGene00000298	F32G8.6.1	913.00	779.16	966.00	49.39	55.61
WBGene00000301	T13F2.8a.1,T13F2.8b.1	822.34	688.51	2748.00	159.01	179.01
WBGene00000302	C56A3.7a.1,C56A3.7b.1,C56A3.7c.1,C56A3.7d.1	1233.00	1099.16	26.00	0.94	1.06
WBGene00000366	R10E11.1a.1,R10E11.1a.2,R10E11.1b.1,R10E11.1c.1	7068.20	6934.36	8236.82	47.32	53.27
WBGene00000367	C54D2.5a.1,C54D2.5a.2,C54D2.5a.3,C54D2.5c.1,C54D2.5d.1,C54D2.5e.1,C54D2.5g.1	6149.21	6015.36	607.00	4.02	4.53
WBGene00000368	T28F2.5.1	2089.00	1955.16	454.00	9.25	10.41
WBGene00000369	Y56A3A.20.1	1311.00	1177.16	1322.00	44.74	50.37
WBGene00000370	Y73F8A.6.1	1066.00	932.16	1427.00	60.99	68.66
WBGene00000371	F26E4.9.1,F26E4.9.2	517.54	383.71	5085.00	527.97	594.37
WBGene00000372	T10B9.10.1	1623.00	1489.16	40.00	1.07	1.20
WBGene00000373	F08F3.7.1	1561.00	1427.16	317.00	8.85	9.96
WBGene00000374	C01F6.3	1389.00	1255.16	192.09	6.10	6.86
WBGene00000375	ZK177.5.1	1551.00	1417.16	1421.00	39.95	44.97
WBGene00000376	ZC518.3a.1,ZC518.3b.1,ZC518.3c.1,ZC518.3c.2,ZC518.3d.1,ZC518.3e.1	3145.22	3011.37	5619.00	74.34	83.69
WBGene00000377	T05C12.7.1	1868.00	1734.16	13951.00	320.51	360.81
WBGene00000378	T21B10.7.1	1926.00	1792.16	8404.00	186.82	210.32
WBGene00000379	K01C8.10.1,K01C8.10.2	1854.00	1720.16	12077.00	279.71	314.89
WBGene00000380	C07G2.3.1	1931.00	1797.16	12425.00	275.44	310.08
WBGene00000381	F01F1.8a.1,F01F1.8a.2,F01F1.8b.1	1905.00	1771.16	11818.00	265.83	299.26
WBGene00000382	C43E11.10.1	1754.00	1620.16	2798.00	68.80	77.46
WBGene00000383	C17G10.4a.1,C17G10.4c.1,C17G10.4d.1,C17G10.4e.1,C17G10.4g.1,C17G10.4h.1	2536.10	2402.25	5134.00	85.14	95.85
WBGene00000386	K06A5.7.1	2261.00	2127.16	6466.00	121.10	136.33
