gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM
WBGene00000110	T05H4.13a.1,T05H4.13b.1,T05H4.13c.1,T05H4.13d.1	1817.02	1672.87	2763.00	69.33	81.09
WBGene00000111	T08B1.3.1	1383.00	1238.85	108.00	3.66	4.28
WBGene00000112	F56D12.1a.1,F56D12.1a.2,F56D12.1b.1,F56D12.1c.1,F56D12.1d.1	1850.58	1706.43	1563.00	38.45	44.97
WBGene00000113	F45H10.1a.1,F45H10.1b.1	1384.75	1240.60	419.00	14.18	16.58
WBGene00000114	F13D12.4a.1,F13D12.4b.1	1754.32	1610.17	14520.00	378.52	442.71
WBGene00000115	F01F1.6.1,F01F1.6.2	1837.19	1693.04	5010.00	124.21	145.28
WBGene00000116	C54D1.4.1	1654.00	1509.85	703.00	19.54	22.86
WBGene00000117	F42G9.5a.1,F42G9.5b.1,F42G9.5b.2	1682.69	1538.53	1079.00	29.44	34.43
WBGene00000118	Y69F12A.2a.1,Y69F12A.2b.1	1546.90	1402.75	1563.00	46.77	54.70
WBGene00000120	C01F6.5.1	774.00	629.85	635.00	42.32	49.49
WBGene00000121	F23B2.6.1	786.00	641.85	4627.00	302.60	353.91
WBGene00000122	M18.7a.1,M18.7b	981.54	837.39	4084.00	204.72	239.43
WBGene00000123	F36A4.7.1	6020.00	5875.85	6148.00	43.92	51.37
WBGene00000133	C05E11.4.1	1739.00	1594.85	196.00	5.16	6.03
WBGene00000134	F49E11.3.1	1754.00	1609.85	6.00	0.16	0.18
WBGene00000135	M195.3.1	2384.00	2239.85	35.00	0.66	0.77
WBGene00000136	C05E11.5.1	2110.00	1965.85	639.00	13.64	15.96
WBGene00000137	R13G10.2.1	2641.00	2496.85	655.00	11.01	12.88
WBGene00000138	B0019.1.1	2356.00	2211.85	112.00	2.13	2.49
WBGene00000139	F25C8.2a.1,F25C8.2b.1	1318.78	1174.63	130.00	4.65	5.43
WBGene00000140	ZK973.6a.1,ZK973.6b.1,ZK973.6c.1	23489.10	23344.95	24055.00	43.25	50.59
WBGene00000142	C08B6.9.1	1242.00	1097.85	3008.00	115.01	134.51
WBGene00000143	K06H7.6.1	2312.00	2167.85	2796.00	54.14	63.32
WBGene00000144	F15H10.3a.1,F15H10.3b.1,F15H10.3c.1,F15H10.3d.1	664.02	519.87	661.00	53.37	62.42
WBGene00000145	F35G12.9.1	469.00	324.87	684.00	88.38	103.36
WBGene00000146	F46F3.4a.1,F46F3.4b.1,F46F3.4c.1,F46F3.4d.1	2712.91	2568.76	6681.00	109.17	127.69
WBGene00000147	VF36H2L.1.1	1104.00	959.85	489.00	21.38	25.01
WBGene00000148	ZC434.6a.1,ZC434.6b.1	2378.82	2234.67	1892.00	35.54	41.57
WBGene00000149	C42D8.8a.1,C42D8.8b.1	2711.46	2567.31	2850.00	46.60	54.50
WBGene00000150	F55A12.7.1	1602.00	1457.85	451.00	12.99	15.19
WBGene00000151	T05H10.2.1	1237.00	1092.85	1707.00	65.57	76.68
WBGene00000155	W03G9.4.1	2097.00	1952.85	6868.00	147.63	172.66
WBGene00000156	K04G2.8a.1,K04G2.8b.1,K04G2.8c.1	3896.23	3752.07	6110.00	68.35	79.95
WBGene00000157	F02E8.3.1	564.00	419.85	261.00	26.09	30.52
WBGene00000158	Y105E8A.9.1	3020.00	2875.85	2955.00	43.13	50.44
WBGene00000159	F29G9.3.1	615.00	470.85	1297.00	115.63	135.23
WBGene00000160	Y71H2B.10.1	3115.00	2970.85	2521.00	35.62	41.66
WBGene00000161	T20B5.1.1	3246.00	3101.85	1852.00	25.06	29.31
WBGene00000162	W09G10.4a.1,W09G10.4b.1	4129.00	3984.85	1637.00	17.24	20.17
WBGene00000163	R11A5.1a.1,R11A5.1b.1	2917.41	2773.26	3912.00	59.21	69.25
WBGene00000164	F53H8.1.1	1413.00	1268.85	515.00	17.04	19.93
WBGene00000165	Y48G8AL.14.1	1467.00	1322.85	1798.00	57.05	66.73
WBGene00000166	W04G3.4.1	2276.00	2131.85	27.00	0.53	0.62
WBGene00000168	K08D9.3a.1,K08D9.3b,K08D9.3c,K08D9.3d,K08D9.3e.1,K08D9.3f.1	2147.57	2003.41	353.00	7.40	8.65
WBGene00000169	F32A5.5a.1,F32A5.5b.1	1002.61	858.45	293.00	14.33	16.76
WBGene00000170	C01G6.1a.1,C01G6.1b.1,C01G6.1b.2	1188.45	1044.29	391.00	15.72	18.38
WBGene00000171	Y69E1A.7a.1,Y69E1A.7b.1,Y69E1A.7c.1	969.00	824.85	10.00	0.51	0.60
WBGene00000172	F40F9.9.1	1076.00	931.85	216.00	9.73	11.38
WBGene00000173	C35A5.1.1	1038.00	893.85	5.00	0.23	0.27
WBGene00000174	C32C4.2a.1,C32C4.2b.1,C32C4.2c.1	1041.00	896.85	7.00	0.33	0.38
WBGene00000175	M02F4.8a.1,M02F4.8a.2,M02F4.8b.1	1065.75	921.59	2068.00	94.19	110.16
WBGene00000176	K02G10.7a.1,K02G10.7b.1,K02G10.7b.2,K02G10.7c.1,K02G10.7d.1	1168.34	1024.19	1047.00	42.91	50.19
WBGene00000177	K07A1.16a.1,K07A1.16a.2,K07A1.16b.1	794.68	652.57	106.00	6.82	7.97
WBGene00000178	ZK1321.3.1	983.00	838.85	466.00	23.32	27.27
WBGene00000179	ZK525.2.1	900.00	755.85	677.00	37.60	43.97
WBGene00000180	ZK1320.6.1	1710.00	1565.85	262.00	7.02	8.21
WBGene00000181	F01G4.2a.1,F01G4.2b.1	788.69	645.10	3170.00	206.27	241.24
WBGene00000182	B0336.2.1,B0336.2.2	1199.80	1055.64	2463.00	97.94	114.54
WBGene00000183	F57H12.1.1	940.00	795.85	4469.00	235.71	275.68
WBGene00000184	Y116A8C.12.1	639.00	494.85	375.00	31.81	37.20
WBGene00000185	F31A9.3.1	1074.00	929.85	0.00	0.00	0.00
WBGene00000186	C01C7.1a.1,C01C7.1b.1	3567.38	3423.23	998.00	12.24	14.31
WBGene00000187	F54C9.10.1	976.00	831.85	1062.00	53.59	62.68
WBGene00000188	F19H8.3.1	1586.00	1441.85	95.00	2.77	3.23
WBGene00000189	ZK632.8.1	706.00	561.85	479.00	35.79	41.85
WBGene00000190	F45E4.1.1	730.00	585.85	58.52	4.19	4.90
WBGene00000191	F20D1.5	525.00	380.85	37.48	4.13	4.83
WBGene00000192	Y57G11C.13.1	984.00	839.85	2149.00	107.41	125.62
WBGene00000193	C38D4.8.1	1417.00	1272.85	9.00	0.30	0.35
WBGene00000195	F53H8.2.1	1530.00	1385.85	357.00	10.81	12.65
WBGene00000196	W02B12.6a.1,W02B12.6b	2753.28	2609.12	1464.00	23.55	27.55
WBGene00000197	F28H1.3.1,F28H1.3.2	3126.00	2981.85	7193.00	101.26	118.43
WBGene00000198	C15F1.6.1	1059.00	914.85	2450.00	112.41	131.47
WBGene00000199	Y71F9AL.16.1	1598.00	1453.85	1616.00	46.66	54.57
WBGene00000200	K07C5.1.1	1506.00	1361.85	3015.00	92.93	108.69
WBGene00000201	Y79H2A.6a.1,Y79H2A.6b.1	1380.25	1236.09	1748.00	59.36	69.42
WBGene00000202	Y6D11A.1.1	1764.00	1619.85	1797.00	46.57	54.46
WBGene00000203	Y37D8A.1.1	693.00	548.85	998.00	76.33	89.27
WBGene00000204	C35D10.16.1	756.00	611.85	698.00	47.89	56.01
WBGene00000205	M01B12.3.1	640.00	495.85	610.00	51.64	60.40
WBGene00000206	F35G12.10.1	1026.00	881.85	6350.00	302.26	353.51
WBGene00000207	F02E8.1.1,F02E8.1.2	1134.87	990.72	3650.00	154.65	180.87
WBGene00000208	Y53F4B.15.1	1339.00	1194.85	1031.00	36.22	42.36
WBGene00000209	K07A12.3.1	476.00	331.86	2698.00	341.26	399.12
WBGene00000210	C53B7.4.1	497.00	352.86	1491.00	177.37	207.44
WBGene00000211	B0252.2.1	1790.00	1645.85	294.00	7.50	8.77
WBGene00000212	ZK455.4.1	1933.00	1788.85	193.00	4.53	5.30
WBGene00000213	W03G1.7a.1,W03G1.7b.1	1823.65	1679.50	29.00	0.72	0.85
WBGene00000214	Y39B6A.20.1	1191.00	1046.85	24013.00	962.86	1126.12
WBGene00000215	T18H9.2.1	1381.00	1236.85	13166.00	446.82	522.59
WBGene00000216	H22K11.1.1	1462.00	1317.85	24527.00	781.23	913.70
WBGene00000217	R12H7.2.1	1460.00	1315.85	14349.00	457.74	535.35
WBGene00000218	F21F8.3.1	1240.00	1095.85	9946.00	380.98	445.58
WBGene00000219	F21F8.7.1	1275.00	1130.85	23832.00	884.62	1034.62
WBGene00000220	K08F8.2.1	1408.00	1263.85	14.00	0.46	0.54
WBGene00000221	T04C10.4.1,T04C10.4.2	1026.84	882.69	493.69	23.48	27.46
WBGene00000222	F45E6.2.1	2402.00	2257.85	265.00	4.93	5.76
WBGene00000223	C07G2.2a.1,C07G2.2b.1,C07G2.2b.2,C07G2.2c.1,C07G2.2d.1,C07G2.2d.2,C07G2.2d.3,C07G2.2d.4	2167.82	2023.67	3114.00	64.59	75.54
WBGene00000224	F26D10.9a.1,F26D10.9b.1	1965.00	1820.85	460.00	10.60	12.40
WBGene00000225	C38C6.2a.1,C38C6.2b.1,C38C6.2c.1	1944.05	1799.90	345.00	8.05	9.41
WBGene00000226	T06E4.3a.1,T06E4.3a.2,T06E4.3c.1	6294.35	6150.20	7981.00	54.47	63.71
WBGene00000227	Y48G1BL.2a.1,Y48G1BL.2b.1	7581.00	7436.85	1663.00	9.39	10.98
WBGene00000228	W04D2.1a.1,W04D2.1b.1,W04D2.1c.1,W04D2.1d.1	3143.91	2999.76	2769.00	38.75	45.32
WBGene00000229	C34E10.6.1,C34E10.6.2	1929.00	1784.85	39769.00	935.28	1093.87
WBGene00000230	F27C1.7a.1,F27C1.7a.2,F27C1.7a.3,F27C1.7a.4,F27C1.7b.1	873.72	729.56	6253.00	359.77	420.77
WBGene00000231	D2045.1a.1,D2045.1b.1,D2045.1c.1,D2045.1d.1	3474.35	3330.20	1670.00	21.05	24.62
WBGene00000232	B0207.12a.1,B0207.12a.2,B0207.12a.3,B0207.12b.1,B0207.12c.1	1754.08	1609.92	124.00	3.23	3.78
WBGene00000233	R11G10.1a.1,R11G10.1b.1,R11G10.1c.1	1791.78	1647.63	246.00	6.27	7.33
WBGene00000235	B0464.7.1	540.00	395.85	1491.00	158.10	184.91
WBGene00000236	F57B10.11.1	717.00	572.85	1536.00	112.55	131.64
WBGene00000237	Y71F9AR.1.1	3441.00	3296.85	276.00	3.51	4.11
WBGene00000238	C54D1.6.1	2592.00	2447.85	209.00	3.58	4.19
WBGene00000239	C05D2.4a.1,C05D2.4b.1	1615.55	1471.40	390.00	11.13	13.01
WBGene00000240	K08F8.4a.1,K08F8.4b.1	1557.25	1413.10	1877.00	55.76	65.21
WBGene00000241	Y105E8A.5.1	1984.00	1839.85	2.00	0.05	0.05
WBGene00000242	F20D12.3.1	2330.00	2185.85	14.00	0.27	0.31
WBGene00000244	T25F10.5.1	1719.00	1574.85	9.00	0.24	0.28
WBGene00000245	T13C5.5.1	1085.00	940.85	508.00	22.66	26.51
WBGene00000246	M7.3.1	2056.00	1911.85	94.00	2.06	2.41
WBGene00000247	T19E7.3a.1,T19E7.3b.1	1335.00	1190.85	1138.00	40.11	46.91
WBGene00000248	C54C6.2.1	2065.00	1920.85	1298.13	28.37	33.18
WBGene00000249	T27F2.3.1,T27F2.3.2	567.00	422.85	905.00	89.84	105.07
WBGene00000250	C50B8.2.1	1044.00	899.85	1194.00	55.70	65.14
WBGene00000251	C09G5.6.1	3010.00	2865.85	72.00	1.05	1.23
WBGene00000252	F59E12.12.1	994.00	849.85	45.00	2.22	2.60
WBGene00000253	F56C11.1.1,F56C11.1.2	5081.82	4937.66	756.76	6.43	7.52
WBGene00000254	K04F10.4a.1,K04F10.4b.1,K04F10.4c.1,K04F10.4d.1,K04F10.4d.2,K04F10.4e.1,K04F10.4f.1,K04F10.4g.1,K04F10.4h.1,K04F10.4i.1,K04F10.4j.1	2900.68	2756.53	5640.00	85.88	100.45
WBGene00000255	F45G2.5.1	747.00	602.85	23.00	1.60	1.87
WBGene00000256	Y73B6BL.34.1	996.00	851.85	178.00	8.77	10.26
WBGene00000257	F23B12.8a.1,F23B12.8b.1	3033.48	2889.33	4958.00	72.03	84.24
WBGene00000259	F13H8.10a.1,F13H8.10b.1,F13H8.10c.1,F13H8.10c.2,F13H8.10c.3,F13H8.10c.4,F13H8.10c.5,F13H8.10c.6	2320.60	2176.45	1561.00	30.11	35.21
WBGene00000262	F54B11.6.1	870.00	725.85	176.00	10.18	11.90
WBGene00000263	F23H11.5.1	461.00	316.87	3071.00	406.81	475.80
WBGene00000264	C36A4.8a.1,C36A4.8b.1,C36A4.8c.1	1623.12	1479.02	1510.97	42.88	50.15
WBGene00000265	K04C2.4.1	2186.00	2041.85	1153.00	23.70	27.72
WBGene00000266	C53B4.7a.1,C53B4.7b.1,C53B4.7c.1,C53B4.7d.1,C53B4.7e.1	1345.50	1201.35	379.00	13.24	15.49
WBGene00000267	Y39E4B.9a.1,Y39E4B.9a.2,Y39E4B.9b.1,Y39E4B.9c.1,Y39E4B.9d.1	1162.44	1018.29	55.00	2.27	2.65
WBGene00000268	B0464.4a.1,B0464.4a.2,B0464.4a.3,B0464.4b	1949.48	1805.33	1847.00	42.94	50.23
WBGene00000269	Y73E7A.7a.1,Y73E7A.7a.2,Y73E7A.7b.1	1387.69	1243.54	228.00	7.70	9.00
WBGene00000270	T12G3.8a.1,T12G3.8b.1	878.05	733.89	523.00	29.91	34.99
WBGene00000271	F45E12.2a.1,F45E12.2b.1	2569.59	2425.44	2875.00	49.76	58.19
WBGene00000272	F56A3.5.1	1142.00	997.85	1.00	0.04	0.05
WBGene00000273	Y79H2A.1a.1,Y79H2A.1c.1	1804.00	1659.85	4938.00	124.88	146.05
WBGene00000274	F15D4.1.1	5229.00	5084.85	2045.00	16.88	19.74
WBGene00000275	R06C7.8.1	3062.00	2917.85	7291.00	104.89	122.67
WBGene00000276	F57B9.5.1	1563.00	1418.85	2551.00	75.47	88.27
WBGene00000277	C23H4.1.1,C23H4.1.2	1943.77	1799.62	1528.00	35.64	41.68
WBGene00000279	F54D8.4a.1,F54D8.4b.1	828.65	684.50	67.00	4.11	4.81
WBGene00000280	D1022.8.1	1198.00	1053.85	12.00	0.48	0.56
WBGene00000281	K05G3.3.1	1080.00	935.85	643.00	28.84	33.73
WBGene00000282	R01E6.3a.1,R01E6.3b.1	991.18	847.03	1418.00	70.27	82.19
WBGene00000283	R173.1.1	1091.00	946.85	491.00	21.77	25.46
WBGene00000284	T28F2.3.1,T28F2.3.2	1378.00	1233.85	49.00	1.67	1.95
WBGene00000285	C13C12.1a.1,C13C12.1b.1	793.38	649.23	124.00	8.02	9.38
WBGene00000286	C18E9.1.1	756.00	611.85	192.00	13.17	15.41
WBGene00000287	M02B7.6a.1,M02B7.6b.1	733.23	589.08	41.00	2.92	3.42
WBGene00000288	T07G12.1a.1,T07G12.1b.1,T07G12.1b.2,T07G12.1c.1	1119.13	974.97	58.00	2.50	2.92
WBGene00000289	C01G6.8a.1,C01G6.8b.1,C01G6.8c.1,C01G6.8c.2	3036.99	2892.83	2012.00	29.19	34.15
WBGene00000292	D2024.6.1	1131.00	986.85	2038.00	86.69	101.39
WBGene00000293	M106.5.1	1260.00	1115.85	2767.00	104.09	121.74
WBGene00000294	F41G4.2a.1,F41G4.2b.1	1801.51	1657.35	1222.00	30.95	36.20
WBGene00000295	W01C8.6.1,W01C8.6.2	2002.00	1857.85	14.00	0.32	0.37
WBGene00000296	B0432.5a.1,B0432.5b.1,B0432.5c.1	1790.85	1646.70	20.00	0.51	0.60
WBGene00000298	F32G8.6.1	913.00	768.85	924.00	50.45	59.00
WBGene00000301	T13F2.8a.1,T13F2.8b.1	758.85	614.74	1721.00	117.51	137.44
WBGene00000302	C56A3.7a.1,C56A3.7b.1,C56A3.7c.1,C56A3.7d.1	1129.47	985.32	15.00	0.64	0.75
WBGene00000366	R10E11.1a.1,R10E11.1a.2,R10E11.1b.1,R10E11.1c.1	7064.47	6920.32	6891.56	41.80	48.89
WBGene00000367	C54D2.5a.1,C54D2.5a.2,C54D2.5a.3,C54D2.5c.1,C54D2.5d.1,C54D2.5e.1,C54D2.5g.1	6155.25	6011.10	395.00	2.76	3.23
WBGene00000368	T28F2.5.1	2089.00	1944.85	225.00	4.86	5.68
WBGene00000369	Y56A3A.20.1	1311.00	1166.85	973.00	35.00	40.94
WBGene00000370	Y73F8A.6.1	1066.00	921.85	1535.00	69.90	81.75
WBGene00000371	F26E4.9.1,F26E4.9.2	528.02	383.88	4535.00	495.89	579.98
WBGene00000372	T10B9.10.1	1623.00	1478.85	37.00	1.05	1.23
WBGene00000373	F08F3.7.1	1561.00	1416.85	476.00	14.10	16.49
WBGene00000374	C01F6.3	1389.00	1244.85	481.17	16.23	18.98
WBGene00000375	ZK177.5.1	1551.00	1406.85	1421.00	42.40	49.59
WBGene00000376	ZC518.3a.1,ZC518.3b.1,ZC518.3c.1,ZC518.3c.2,ZC518.3d.1,ZC518.3e.1	3158.71	3014.56	5051.00	70.33	82.26
WBGene00000377	T05C12.7.1	1868.00	1723.85	10198.00	248.32	290.43
WBGene00000378	T21B10.7.1	1926.00	1781.85	6020.00	141.82	165.86
WBGene00000379	K01C8.10.1,K01C8.10.2	1854.00	1709.85	9325.00	228.92	267.74
WBGene00000380	C07G2.3.1	1931.00	1786.85	10227.00	240.25	280.99
WBGene00000381	F01F1.8a.1,F01F1.8a.2,F01F1.8b.1	1905.00	1760.85	9303.00	221.77	259.37
WBGene00000382	C43E11.10.1	1754.00	1609.85	2345.00	61.14	71.51
WBGene00000383	C17G10.4a.1,C17G10.4c.1,C17G10.4d.1,C17G10.4e.1,C17G10.4g.1,C17G10.4h.1	2536.18	2392.03	4414.00	77.46	90.59
WBGene00000386	K06A5.7.1	2261.00	2116.85	5667.00	112.37	131.43
