"","Common_Name","Class","wt_1","wt_2","piwi_1","piwi_2","Fold_Change","padj"
"WBGene00012148","inos-1","CSR",4876.919,5050.528,275797.654,272822.694,55.262,0
"WBGene00012228","WBGene00012228","WAGO",53389.611,49628.049,794.885,622.589,-72.902,0
"WBGene00012673","dyf-17","unk",382.222,498.479,39273.362,40060.332,89.987,0
"WBGene00012702","ztf-20","WAGO",229.502,227.72,9774.752,9976.304,43.202,0
"WBGene00012792","WBGene00012792","WAGO",7902.634,8316.077,109.829,90.307,-81.714,0
"WBGene00012920","alkb-7","unk",129.095,148.683,23051.666,24707.023,171.705,0
"WBGene00013134","hsf-2","unk",84.376,112.686,13750.55,14915.584,145.041,0
"WBGene00013152","WBGene00013152","WAGO",17270.032,16430.258,280.063,250.736,-63.694,0
"WBGene00013163","WBGene00013163","WAGO",9083.895,8398.244,159.252,112.619,-65.09,0
"WBGene00013203","WBGene00013203","unk",126.564,148.683,9975.19,10364.094,73.787,0
"WBGene00013358","abhd-3.1","unk",143.439,194.07,29423.102,30207.271,176.259,0
"WBGene00013403","fbxb-100","WAGO",7911.072,7650.133,87.863,61.621,-105.794,0
"WBGene00013507","WBGene00013507","WAGO",41683.317,40397.963,971.984,698.023,-49.302,0
"WBGene00013671","WBGene00013671","unk",102.938,89.21,8231.659,9191.161,90.825,0
"WBGene00013859","WBGene00013859","WAGO",10901.349,10655.096,183.963,164.678,-62.072,0
"WBGene00013945","WBGene00013945","WAGO",1443.669,1374.927,23154.631,23390.661,16.515,0
"WBGene00014130","WBGene00014130","WAGO",14908.354,13912.037,164.743,109.431,-106.626,0
"WBGene00014663","WBGene00014663","WAGO",25764.984,25454.536,369.299,261.36,-81.823,0
"WBGene00014801","WBGene00014801","WAGO",8484.827,8954.631,249.86,202.926,-38.749,0
"WBGene00014884","WBGene00014884","WAGO",60215.61,54140.188,941.781,720.334,-68.99,0
"WBGene00014914","WBGene00014914","WAGO",14823.979,13185.838,366.553,342.105,-39.587,0
"WBGene00014954","WBGene00014954","unk",344.253,305.191,8484.265,8075.6,25.514,0
"WBGene00014955","WBGene00014955","WAGO",1058.072,1174.596,19931.159,20237.341,17.987,0
"WBGene00014992","WBGene00014992","WAGO",2165.926,2312.412,41199.482,42653.746,18.723,0
"WBGene00015012","bath-20","WAGO",35519.667,35907.736,455.789,312.357,-93.603,0
"WBGene00015096","WBGene00015096","WAGO",8420.702,8413.112,82.372,77.558,-105.551,0
"WBGene00015200","lido-13","WAGO",288.565,268.412,8815.124,9181.599,32.328,0
"WBGene00016070","WBGene00016070","WAGO",9501.555,8767.604,149.642,96.682,-75.319,0
"WBGene00016273","WBGene00016273","WAGO",7321.285,7030.36,70.016,61.621,-109.693,0
"WBGene00016299","WBGene00016299","WAGO",8872.112,8743.345,135.913,114.743,-70.751,0
"WBGene00016340","gba-2","WAGO",238.783,266.847,18896.024,19826.177,76.525,0
"WBGene00016341","mtq-2","unk",194.908,217.547,35432.104,33832.313,167.78,0
"WBGene00016540","WBGene00016540","WAGO",436.223,446.832,19505.573,19521.257,44.19,0
"WBGene00016885","fbxb-97","WAGO",12779.554,12443.987,333.605,307.045,-39.457,0
"WBGene00016906","WBGene00016906","WAGO",212.627,274.672,26493.423,27513.987,110.652,0
"WBGene00016953","WBGene00016953","ALG",1425.107,1515.002,28672.149,28388.375,19.405,0
"WBGene00017153","WBGene00017153","unk",302.909,435.876,22586.267,22100.86,60.405,0
"WBGene00017571","jmjd-3.1","WAGO",13543.998,14056.807,138.659,111.556,-111.273,0
"WBGene00017622","WBGene00017622","WAGO",1358.45,1490.743,40419.699,42060.905,28.944,0
"WBGene00018099","ztf-28","unk",965.259,989.133,34328.326,33548.642,34.728,0
"WBGene00018664","bath-11","WAGO",11011.038,10023.584,161.997,109.431,-78.546,0
"WBGene00019189","WBGene00019189","unk",1382.919,1445.356,48949.268,48249.613,34.364,0
"WBGene00019197","WBGene00019197","unk",670.787,744.198,23808.111,25165.997,34.6,0
"WBGene00019267","WBGene00019267","WAGO",9866.059,10085.405,129.049,94.557,-90.351,0
"WBGene00019513","lido-7","WAGO",405.847,352.927,19011.344,18949.665,50.066,0
"WBGene00019517","WBGene00019517","WAGO",46464.048,44599.433,668.582,546.094,-75.21,0
"WBGene00019636","gsto-3","WAGO",167.908,173.724,9144.61,9493.956,54.544,0
"WBGene00019735","WBGene00019735","WAGO",19407.27,19390.615,252.606,164.678,-94.04,0
"WBGene00019997","WBGene00019997","ALG",282.659,304.409,18550.063,18132.649,62.453,0
"WBGene00020005","WBGene00020005","WAGO",670.787,735.59,20424.015,20156.596,28.845,0
"WBGene00020146","got-1.2","WAGO",51637.97,49294.686,871.765,582.217,-69.675,0
"WBGene00020220","clec-140","unk",23448.87,21336.798,362.435,293.233,-68.644,0
"WBGene00020262","ferl-1","unk",38110.003,35194.839,573.855,460.036,-71.168,0
"WBGene00020306","WBGene00020306","WAGO",7205.691,7311.293,96.1,106.244,-71.44,0
"WBGene00020666","WBGene00020666","WAGO",17357.783,17982.039,201.81,166.803,-96.502,0
"WBGene00020988","WBGene00020988","WAGO",11044.788,11347.646,135.913,98.807,-96.612,0
"WBGene00021020","WBGene00021020","unk",442.973,471.09,35977.129,35472.719,78.143,0
"WBGene00021036","WBGene00021036","WAGO",2767.525,2783.503,38181.939,37557.225,13.644,0
"WBGene00021198","npp-26","unk",107.157,97.818,6087.254,6025.093,59.148,0
"WBGene00021269","WBGene00021269","unk",516.38,708.983,75040.443,75334.375,122.616,0
"WBGene00021340","WBGene00021340","WAGO",287.721,351.361,14866.684,14719.032,46.243,0
"WBGene00021483","WBGene00021483","WAGO",8064.636,7528.839,85.117,87.12,-90.439,0
"WBGene00021564","WBGene00021564","unk",1227.667,1453.181,102444.071,103353.021,76.743,0
"WBGene00021656","WBGene00021656","WAGO",7908.541,7839.509,138.659,95.62,-68.175,0
"WBGene00021673","WBGene00021673","WAGO",20100.839,20209.937,369.299,283.671,-62.113,0
"WBGene00021679","WBGene00021679","WAGO",8264.606,8973.412,86.49,60.559,-119.138,0
"WBGene00021692","WBGene00021692","unk",157.783,234.763,31803.639,32544.637,163.521,0
"WBGene00021764","WBGene00021764","unk",262.409,316.93,39056.45,37886.581,132.656,0
"WBGene00021808","WBGene00021808","WAGO",1974.393,2194.249,47749.39,47766.203,22.91,0
"WBGene00021876","WBGene00021876","unk",181.408,282.498,29517.83,27827.407,123.342,0
"WBGene00021928","WBGene00021928","unk",255.659,269.195,11442.775,10496.899,41.783,0
"WBGene00021939","WBGene00021939","ERGO",3141.31,2891.494,66674.244,70246.354,22.698,0
"WBGene00022060","dmd-9","WAGO",166.22,205.809,11928.767,11583.774,63.095,0
"WBGene00022149","lin-65","CSR",864.008,881.925,17219.764,16977.778,19.586,0
"WBGene00022181","pho-9","WAGO",855.57,833.408,32186.667,32757.125,38.455,0
"WBGene00022512","dot-1.5","WAGO",10230.562,10027.497,133.167,90.307,-92.039,0
"WBGene00022519","WBGene00022519","WAGO",854.727,933.573,21125.546,21287.031,23.711,0
"WBGene00022712","WBGene00022712","WAGO",477.567,516.478,25061.531,23790.138,49.126,0
"WBGene00023284","WBGene00023284","WAGO",8520.265,7767.515,134.54,123.243,-63.395,0
"WBGene00043068","WBGene00043068","unk",354.378,379.533,22039.87,23201.547,61.623,0
"WBGene00044161","WBGene00044161","WAGO",39371.421,37216.146,660.345,590.716,-61.335,0
"WBGene00044217","WBGene00044217","WAGO",11506.323,11479.895,156.506,104.119,-89.505,0
"WBGene00044310","WBGene00044310","CSR",251.44,273.107,8853.564,9229.409,34.457,0
"WBGene00044907","WBGene00044907","WAGO",23273.368,21517.565,293.792,193.364,-92.845,0
"WBGene00045077","WBGene00045077","WAGO",12563.552,12183.401,392.638,401.602,-31.141,0
"WBGene00045297","fbxc-43","WAGO",19548.178,17493.733,207.302,172.115,-98.216,0
"WBGene00045419","lsy-12","CSR",1101.948,1298.238,62157.54,62751.908,52.025,0
"WBGene00077636","WBGene00077636","WAGO",14800.353,12539.458,300.656,236.924,-51.142,0
"WBGene00189951","linc-29","WAGO",83144.725,79345.875,1308.334,965.757,-71.614,0
"WBGene00194675","WBGene00194675","WAGO",10216.218,9623.705,96.1,95.62,-103.505,0
"WBGene00206415","WBGene00206415","WAGO",7450.38,7740.908,90.609,78.62,-90.343,0
"WBGene00206497","WBGene00206497","WAGO",35830.17,31309.517,502.466,515.283,-65.937,0
"WBGene00219205","WBGene00219205","unk",158.626,194.07,7454.621,7928.984,43.554,0
"WBGene00219725","linc-63","unk",27740.221,26153.346,437.942,303.858,-73.131,0
"WBGene00235353","WBGene00235353","unk",17699.505,17125.155,189.454,123.243,-112.928,0
"WBGene00255736","WBGene00255736","unk",25115.291,24983.445,348.706,315.544,-75.622,0
"WBGene00303015","WBGene00303015","unk",10303.125,9954.72,148.269,105.181,-80.964,0
"WBGene00304906","WBGene00304906","unk",13939.721,13389.299,590.329,503.596,-25.051,0
"WBGene00305408","WBGene00305408","unk",30636.841,29742.085,1315.198,1200.556,-24.022,0
"WBGene00305590","WBGene00305590","unk",43.875,53.213,6921.952,7011.036,143.134,0
"WBGene00305720","WBGene00305720","unk",106.313,108.773,8233.032,8114.91,75.986,0
"WBGene00305943","WBGene00305943","unk",364.503,385.011,8824.734,8515.45,23.127,0
"WBGene00003915","pan-1","WAGO",7482.443,7053.836,193.573,164.678,-40.792,0
"WBGene00189976","WBGene00189976","unk",6417.621,6210.256,108.456,101.994,-60.157,0
"WBGene00018851","WBGene00018851","WAGO",6738.249,6604.657,161.997,140.242,-44.377,0
"WBGene00013348","fbxa-106","WAGO",545.067,543.867,9983.427,10132.482,18.474,0
"WBGene00020349","WBGene00020349","ALG",601.599,672.986,12575.383,12278.61,19.492,0
"WBGene00020272","WBGene00020272","WAGO",7063.096,6886.372,211.42,189.114,-34.951,0
"WBGene00017665","WBGene00017665","WAGO",7970.135,7690.043,123.557,76.496,-79.752,0
"WBGene00016871","inso-1","WAGO",7323.817,7566.401,78.253,47.81,-120.867,0
"WBGene00015124","anmt-1","WAGO",6909.532,6531.098,86.49,63.746,-90.705,0
"WBGene00015765","WBGene00015765","unk",416.816,430.398,8459.554,8284.901,19.76,0
"WBGene00022446","WBGene00022446","WAGO",6387.246,6281.467,83.744,65.871,-85.612,0
"WBGene00305572","WBGene00305572","unk",8342.232,8321.555,348.706,365.479,-23.306,0
"WBGene00010550","WBGene00010550","WAGO",6284.307,6237.645,137.286,111.556,-50.725,0
"WBGene00012195","bath-34","WAGO",298.69,292.671,6625.415,7053.534,23.137,0
"WBGene00020313","WBGene00020313","WAGO",8338.857,7903.677,161.997,103.057,-62.217,0
"WBGene00010185","WBGene00010185","unk",118.97,99.383,4643.007,4868.096,43.639,0
"WBGene00006784","unc-49","WAGO",6413.402,6024.793,74.134,61.621,-92.417,0
"WBGene00008517","WBGene00008517","WAGO",94580.173,95168.881,5565.568,6486.191,-15.739,0
"WBGene00016216","pals-22","WAGO",5918.96,6022.445,59.033,62.684,-97.824,0
"WBGene00001890","his-16","histone",54,59.473,4141.914,4110.577,72.635,0
"WBGene00021037","fbxa-203","WAGO",5866.647,6033.401,90.609,66.934,-76.561,0
"WBGene00195155","WBGene00195155","WAGO",31929.478,32962.246,2591.957,2494.607,-12.76,0
"WBGene00001886","his-12","histone",70.876,64.951,4047.187,3935.275,58.826,0
"WBGene00001917","his-43","histone",70.876,64.951,4047.187,3935.275,58.826,0
"WBGene00219399","WBGene00219399","unk",1298.543,1284.152,17609.655,18984.726,14.17,0
"WBGene00019816","nhr-204","WAGO",5961.148,6150.782,63.151,47.81,-110.663,0
"WBGene00017069","timm-17B.2","WAGO",19335.551,17338.007,1150.455,1108.124,-16.243,0
"WBGene00017729","WBGene00017729","WAGO",16214.491,15814.397,645.243,475.973,-28.686,0
"WBGene00006620","svh-1","unk",32.063,43.822,4331.368,4657.733,117.964,0
"WBGene00006592","dpy-31","WAGO",5316.517,5815.072,80.999,73.308,-72.464,0
"WBGene00017101","WBGene00017101","WAGO",826.883,777.064,11814.82,12013,14.859,0
"WBGene00013944","WBGene00013944","unk",182.252,202.678,5518.891,6358.698,30.841,0
"WBGene00010067","dot-1.2","WAGO",6143.4,5541.964,68.643,57.372,-93.512,0
"WBGene00018850","gpx-8","WAGO",6234.525,6067.833,222.403,192.301,-29.798,0
"WBGene00185098","WBGene00185098","WAGO",6350.12,6219.646,94.727,55.247,-85.77,0
"WBGene00008622","WBGene00008622","WAGO",5851.459,5793.943,214.166,207.176,-27.667,0
"WBGene00013226","faah-5","WAGO",7270.66,6603.092,237.505,264.547,-27.553,0
"WBGene00019814","WBGene00019814","WAGO",5892.804,5718.037,74.134,47.81,-97.198,0
"WBGene00012898","WBGene00012898","WAGO",13081.619,13137.32,941.781,930.697,-14.004,0
"WBGene00018711","WBGene00018711","WAGO",5484.425,5490.317,46.677,63.746,-97.912,0
"WBGene00017423","WBGene00017423","WAGO",7288.379,7157.132,328.113,273.047,-24.138,0
"WBGene00004057","pmk-3","WAGO",5427.893,5503.62,71.389,47.81,-93.473,0
"WBGene00021531","WBGene00021531","WAGO",5380.643,5070.091,97.473,72.246,-62.367,0
"WBGene00017354","WBGene00017354","ALG",4778.2,4673.343,104.337,89.245,-49.143,0
"WBGene00017457","WBGene00017457","WAGO",5303.017,4977.752,160.624,163.616,-31.686,0
"WBGene00304813","WBGene00304813","unk",4623.792,4552.831,83.744,81.808,-55.487,0
"WBGene00305467","WBGene00305467","unk",167.908,156.508,4303.911,4164.762,26.117,0
"WBGene00012624","fbxa-150","WAGO",4707.324,4634.215,86.49,69.059,-60.659,0
"WBGene00007454","WBGene00007454","WAGO",5162.953,4714.035,94.727,74.371,-59.011,0
"WBGene00015111","WBGene00015111","WAGO",4833.044,4703.079,83.744,62.684,-65.978,0
"WBGene00189983","WBGene00189983","unk",6316.37,5260.249,93.354,69.059,-72.155,0
"WBGene00044154","WBGene00044154","WAGO",5087.859,5343.199,79.626,49.935,-82.236,0
"WBGene00001008","dlk-1","WAGO",4667.667,4505.879,87.863,104.119,-47.451,0
"WBGene00017264","WBGene00017264","WAGO",5938.367,5530.226,112.574,66.934,-65.192,0
"WBGene00008996","glb-14","WAGO",4730.106,4838.459,57.66,49.935,-89.566,0
"WBGene00189977","WBGene00189977","unk",4579.917,4394.758,67.27,71.183,-64.651,0
"WBGene00020273","WBGene00020273","WAGO",8089.949,7861.42,503.839,466.411,-16.465,0
"WBGene00017182","WBGene00017182","WAGO",4885.357,5227.382,56.287,42.498,-103.817,0
"WBGene00019096","cysl-4","unk",103.782,89.992,3476.078,3547.484,36.3,0
"WBGene00077712","nipi-4","WAGO",5837.116,5267.292,56.287,35.06,-124.443,0
"WBGene00011812","WBGene00011812","WAGO",1258.886,1392.925,16286.22,16359.438,12.308,0
"WBGene00011455","WBGene00011455","unk",45.563,61.038,3460.976,3317.998,63.357,0
"WBGene00006513","rimb-1","WAGO",2846.838,2789.763,28453.864,28096.204,10.033,0
"WBGene00000518","ckk-1","WAGO",5848.928,5757.946,306.147,307.045,-18.927,0
"WBGene00001955","hlh-11","WAGO",4199.382,4200.687,64.524,69.059,-62.686,0
"WBGene00017344","WBGene00017344","WAGO",9034.957,8172.872,524.432,466.411,-17.402,0
"WBGene00015365","WBGene00015365","WAGO",4617.042,4563.004,43151.687,42517.753,9.332,0
"WBGene00012797","WBGene00012797","WAGO",4581.604,4426.842,42321.108,43045.786,9.477,0
"WBGene00010711","WBGene00010711","WAGO",4188.413,4189.731,131.794,123.243,-32.933,0
"WBGene00305065","WBGene00305065","unk",4309.914,4230.424,79.626,58.434,-62.732,0
"WBGene00007779","WBGene00007779","WAGO",4227.226,3987.053,83.744,75.433,-51.839,0
"WBGene00022589","WBGene00022589","WAGO",322.315,338.841,5483.197,5349.381,16.379,0
"WBGene00011059","WBGene00011059","WAGO",1605.671,1671.51,17163.476,17073.398,10.446,0
"WBGene00023291","WBGene00023291","WAGO",426.941,437.441,6180.609,6255.642,14.386,0
"WBGene00015014","bath-24","WAGO",4605.229,4300.852,159.252,157.241,-28.151,0
"WBGene00003579","ndx-2","ALG",4425.509,4088.783,107.083,86.058,-44.472,0
"WBGene00022438","WBGene00022438","WAGO",5032.171,5224.252,52.169,28.686,-130.762,0
"WBGene00019094","WBGene00019094","WAGO",338.347,280.15,6074.899,5829.604,19.265,0
"WBGene00007672","fbxa-136","WAGO",327.378,392.054,6413.995,6432.007,17.841,0
"WBGene00004795","sid-1","WAGO",5110.64,4786.811,215.539,223.112,-22.54,0
"WBGene00013698","WBGene00013698","unk",4644.042,5274.335,85.117,50.997,-74.477,0
"WBGene00004512","rrn-1.1","risiRNA",1285.887,1276.326,38321.971,27119.822,25.539,0
"WBGene00004513","rrn-1.2","risiRNA",1285.887,1276.326,38321.971,27119.822,25.539,0
"WBGene00012237","WBGene00012237","WAGO",3302.468,3473.705,33709.167,32209.969,9.727,0
"WBGene00011267","fbxb-85","WAGO",4481.197,4249.987,163.37,143.429,-28.585,0
"WBGene00013499","WBGene00013499","WAGO",4382.477,4468.316,120.812,154.054,-31.931,0
"WBGene00003903","pab-2","WAGO",4189.257,3857.151,105.71,97.744,-39.671,0
"WBGene00005222","srg-65","unk",51.469,71.994,3090.304,3252.126,51.183,0
"WBGene00004827","skr-21","WAGO",4563.042,4497.271,42.559,37.185,-114.422,0
"WBGene00021727","bath-23","WAGO",4192.632,4594.306,111.202,138.117,-34.974,0
"WBGene00004622","rrn-3.1","risiRNA",16382.399,15840.221,445119.152,312516.484,23.512,0
"WBGene00021239","WBGene00021239","WAGO",9714.182,9203.48,83515.099,84394.856,8.876,0
"WBGene00008929","WBGene00008929","WAGO",4325.102,4235.119,89.236,55.247,-60.479,0
"WBGene00001936","his-62","histone",182.252,153.378,4312.148,3923.588,24.564,0
"WBGene00007892","WBGene00007892","unk",1341.575,1302.15,13493.826,13529.1,10.222,0
"WBGene00022385","WBGene00022385","ALG",3896.473,3924.45,130.422,115.806,-31.905,0
"WBGene00019611","WBGene00019611","WAGO",3830.66,3900.973,86.49,65.871,-51.354,0
"WBGene00020212","WBGene00020212","WAGO",3630.689,3781.244,85.117,71.183,-47.793,0
"WBGene00001904","his-30","histone",61.594,54.778,2904.968,2708.157,48.291,0
"WBGene00001907","his-33","histone",61.594,54.778,2904.968,2708.157,48.291,0
"WBGene00001459","flp-16","WAGO",4160.569,3944.796,74.134,47.81,-67.81,0
"WBGene00013011","snx-14","unk",506.255,564.996,7138.864,7612.377,13.766,0
"WBGene00015573","WBGene00015573","unk",17.719,24.259,3493.925,3772.722,172.3,0
"WBGene00004240","puf-4","WAGO",3926.848,4088.783,118.066,84.995,-39.979,0
"WBGene00000443","ceh-20","WAGO",4571.479,4399.453,170.234,125.368,-30.653,0
"WBGene00016346","fbxa-120","WAGO",4444.915,4002.704,146.896,164.678,-27.01,0
"WBGene00013244","WBGene00013244","WAGO",3772.441,3722.554,53.541,44.622,-77.044,0
"WBGene00013536","WBGene00013536","unk",2954.839,2850.802,25301.781,25603.722,8.769,0
"WBGene00011433","pde-1","WAGO",3961.442,4469.099,57.66,37.185,-90.792,0
"WBGene00004198","prx-13","WAGO",3895.629,3572.306,54.914,48.872,-72.358,0
"WBGene00000941","ddp-1","unk",231.19,223.807,4008.747,4502.617,18.716,0
"WBGene00019573","WBGene00019573","WAGO",809.164,752.023,8614.687,8710.939,11.1,0
"WBGene00019540","WBGene00019540","WAGO",153.564,171.377,3432.146,3391.306,20.981,0
"WBGene00011712","WBGene00011712","WAGO",9097.395,9097.837,513.449,371.854,-20.657,0
"WBGene00013221","WBGene00013221","WAGO",40863.184,36288.051,3916.765,3682.414,-10.155,0
"WBGene00017714","WBGene00017714","unk",4117.537,3930.71,38.44,32.936,-113.682,0
"WBGene00194682","WBGene00194682","unk",364.503,424.92,5698.735,5947.535,14.744,0
"WBGene00018390","WBGene00018390","WAGO",12182.173,11813.258,1179.285,1224.992,-9.976,0
"WBGene00045212","WBGene00045212","WAGO",4630.542,3988.618,161.997,171.053,-25.834,0
"WBGene00017310","WBGene00017310","WAGO",3333.687,3323.457,60.406,57.372,-56.66,0
"WBGene00022272","WBGene00022272","WAGO",3769.909,3453.359,59.033,43.56,-71.437,0
"WBGene00219675","linc-44","unk",3239.186,3455.707,97.473,89.245,-35.986,0
"WBGene00022198","WBGene00022198","WAGO",3210.498,3315.632,74.134,83.933,-41.069,0
"WBGene00021148","WBGene00021148","WAGO",3814.628,3419.71,48.05,46.747,-76.412,0
"WBGene00017186","WBGene00017186","WAGO",4068.6,4024.615,32210.005,32645.569,8.014,0
"WBGene00021107","WBGene00021107","WAGO",4068.6,4024.615,32210.005,32645.569,8.014,0
"WBGene00013162","WBGene00013162","WAGO",3540.407,3273.374,79.626,59.497,-49.604,0
"WBGene00019994","cdh-1","WAGO",3284.749,3275.722,56.287,74.371,-49.594,0
"WBGene00016165","wdr-60","WAGO",3190.248,3324.24,68.643,54.184,-53.62,0
"WBGene00043534","WBGene00043534","WAGO",3387.687,3325.805,52.169,42.498,-71.641,0
"WBGene00007119","calf-1","WAGO",3718.44,3411.884,49.423,37.185,-83.504,0
"WBGene00022450","ubc-26","WAGO",336.659,355.274,4684.193,4547.24,13.337,0
"WBGene00019739","WBGene00019739","WAGO",3764.847,3520.658,61.779,33.998,-78.239,0
"WBGene00045834","Y40H7A.28","piRNA",3455.188,3308.589,61.779,39.31,-68.362,0
"WBGene00017071","aagr-1","WAGO",3186.873,3165.384,46.677,64.809,-56.126,0
"WBGene00021464","ugt-31","WAGO",3579.22,3280.417,67.27,42.498,-63.821,0
"WBGene00015868","WBGene00015868","WAGO",3066.215,3081.652,105.71,98.807,-30.141,0
"WBGene00022726","nhr-249","WAGO",3340.437,3683.427,60.406,36.123,-74.557,0
"WBGene00014090","WBGene00014090","WAGO",3594.408,3734.292,52.169,26.561,-96.25,0
"WBGene00014987","WBGene00014987","WAGO",3240.029,2979.921,89.236,78.62,-37.248,0
"WBGene00022684","WBGene00022684","unk",18.563,32.084,2578.228,2702.845,103.476,0
"WBGene00007679","WBGene00007679","WAGO",3768.222,3421.275,38.44,30.811,-105.021,0
"WBGene00004045","pll-1","WAGO",5758.646,5463.71,448.925,406.914,-13.138,0
"WBGene00009374","WBGene00009374","CSR",3692.284,3765.593,28052.99,29110.833,7.665,0
"WBGene00017890","WBGene00017890","WAGO",3530.282,3289.025,42.559,31.873,-92.992,0
"WBGene00007838","fbxa-168","WAGO",210.939,236.328,3539.229,3575.108,15.895,0
"WBGene00023404","plr-1","WAGO",3091.528,3040.959,53.541,39.31,-67.056,0
"WBGene00021863","WBGene00021863","WAGO",3954.692,3618.476,174.353,131.742,-24.957,0
"WBGene00002100","ins-17","WAGO",3004.621,2864.105,46.677,55.247,-57.118,0
"WBGene00009380","WBGene00009380","WAGO",3381.781,3606.737,27.457,33.998,-112.444,0
"WBGene00017148","WBGene00017148","WAGO",3536.188,3328.152,34.321,28.686,-109.991,0
"WBGene00021487","comt-3","WAGO",3032.465,2866.452,101.592,82.87,-32.238,0
"WBGene00013563","WBGene00013563","WAGO",2981.84,2793.676,63.151,49.935,-51.629,0
"WBGene00195317","WBGene00195317","unk",3604.533,3112.171,42.559,31.873,-91.559,0
"WBGene00017187","WBGene00017187","WAGO",3504.126,3346.151,25179.597,25986.2,7.47,0
"WBGene00016072","WBGene00016072","WAGO",5719.833,5341.634,422.84,465.348,-12.431,0
"WBGene00016763","WBGene00016763","WAGO",77.626,119.729,3068.339,3007.765,30.677,0
"WBGene00006616","trp-4","WAGO",4823.763,4529.355,34342.054,34380.532,7.348,0
"WBGene00000615","col-38","WAGO",858.102,875.665,7836.276,7687.81,8.953,0
"WBGene00021893","ndnf-1","WAGO",3064.528,3041.742,52.169,31.873,-74.448,0
"WBGene00006640","tsp-14","WAGO",3037.528,2939.229,49.423,33.998,-72.996,0
"WBGene00019872","WBGene00019872","WAGO",6964.376,7069.487,676.819,585.404,-11.143,0
"WBGene00020564","WBGene00020564","WAGO",2619.868,2670.817,72.761,73.308,-36.209,0
"WBGene00010976","WBGene00010976","WAGO",3044.278,3003.397,50.796,29.748,-77.104,0
